produto_1,id_1,produto_2,id_2,similaridade
GPS Furuno Swift Leviathan Poseidon,11,Radar Furuno Swift,35,0.8941795301365218
Radar Furuno Swift,35,Corrente Danforth Zenith Oceanic Torque,122,0.8941795301365218
Transponder AIS Maré Magnum,1,Corrente Danforth Zenith Oceanic Torque,122,0.8921492210152617
Transponder AIS Maré Magnum,1,GPS Furuno Swift Leviathan Poseidon,11,0.8921492210152617
Piloto Automático Furuno Core Boost Flux,26,Boia de Arqueamento Delta Peak Boost Thrust,138,0.8889566369846303
Rádio Lowrance Nitro Thrust Barracuda,25,Boia de Arqueamento Danforth Torque,139,0.8889566369846303
GPS Lowrance Evo Storm Drift,37,Motor Elétrico Torqeedo Barracuda Magnum Helix 101HP,81,0.8888888888888891
Motor Diesel Honda Zen Tidal Mako 26HP,52,Motor de Popa Honda Torque 228HP,74,0.8867155358917448
Cabo de Nylon Delta Velocity Core Mako,127,Boia de Arqueamento Delta Peak Boost Thrust,138,0.8837879163470626
Motor Elétrico Yamaha Orca Storm Zenith 11HP,89,Boia de Arqueamento Delta Peak Boost Thrust,138,0.8837879163470626
GPS Furuno Swift Leviathan Poseidon,11,Corrente Danforth Zenith Oceanic Torque,122,0.8837209302325587
GPS Furuno Swift Leviathan Poseidon,11,Âncora Delta Swift,103,0.8837209302325587
Motor Diesel Tohatsu Evo Zenith 16HP,51,Âncora Delta Swift,103,0.8837209302325587
Âncora Delta Swift,103,Corrente Danforth Zenith Oceanic Torque,122,0.8837209302325587
Transponder Lowrance Axis,42,Corrente Delta Vox Ion,146,0.8827348295047501
Motor Diesel Tohatsu Evo Zenith 16HP,51,Motor de Popa Honda Torque 228HP,74,0.8812021902246505
Rádio Lowrance Nitro Thrust Barracuda,25,Âncora Delta Swift,103,0.8812021902246505
GPS Furuno Swift Leviathan Poseidon,11,Motor de Popa Honda Torque 228HP,74,0.8812021902246505
Rádio Lowrance Nitro Thrust Barracuda,25,Corrente Danforth Zenith Oceanic Torque,122,0.8812021902246505
GPS Furuno Swift Leviathan Poseidon,11,Rádio Lowrance Nitro Thrust Barracuda,25,0.8812021902246505
GPS Furuno Magnum Drift,48,Âncora Danforth Impulse,137,0.8800782326533965
GPS Simrad Zen Hydra Peak,44,Motor Diesel Tohatsu Evo Zenith 16HP,51,0.8790953229099083
Âncora Delta Swift,103,Boia de Arqueamento Delta Force Vox,118,0.8790953229099083
Motor Diesel Honda Prime 84HP,61,Corrente Danforth Zenith Oceanic Torque,122,0.8790953229099083
GPS Furuno Swift Leviathan Poseidon,11,Motor Diesel Honda Prime 84HP,61,0.8790953229099083
Radar Furuno Swift,35,Boia de Arqueamento Danforth Torque,139,0.8783100656536802
